,City,Latitude,Longitude,Maximum Tempurature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yeppoon,-23.1333,150.7333,75.2,83,75,9.22,AU,1612297263
1,Rikitea,-23.1203,-134.9692,77.97,76,77,15.35,PF,1612297263
2,Mataura,-46.1927,168.8643,61.11,76,100,1.45,NZ,1612297263
3,Hobart,-42.8794,147.3294,57.0,76,75,3.44,AU,1612297263
4,Hong Kong,22.2855,114.1577,63.0,80,78,1.01,HK,1612297166
5,Cervo,43.6702,-7.4101,57.99,86,100,5.99,ES,1612297264
6,Coyhaique,-45.5752,-72.0662,78.8,41,0,6.91,CL,1612297264
7,Dalby,-27.1833,151.2667,70.0,80,0,1.99,AU,1612297264
8,Harper,4.375,-7.7169,78.87,88,24,5.14,LR,1612297264
9,Robertsport,6.7533,-11.3686,80.46,85,0,10.11,LR,1612297264
10,Punta Arenas,-53.15,-70.9167,64.4,59,75,28.77,CL,1612297264
11,Bethel,41.3712,-73.414,32.0,86,90,10.36,US,1612297032
12,Cabedelo,-6.9811,-34.8339,82.4,69,40,13.8,BR,1612297244
13,County Wicklow,53.0,-6.4167,48.2,93,75,16.11,IE,1612297265
14,Barrow,71.2906,-156.7887,-22.0,76,1,12.66,US,1612297265
15,Kapaa,22.0752,-159.319,75.2,83,40,14.97,US,1612297265
16,Vieques,18.425,-65.8329,87.8,48,40,10.36,PR,1612297265
17,Butaritari,3.0707,172.7902,81.77,83,85,19.51,KI,1612297265
18,Chui,-33.6971,-53.4616,80.56,66,92,6.42,UY,1612297266
19,San Patricio,28.017,-97.5169,69.8,40,20,9.22,US,1612297266
20,Qaanaaq,77.484,-69.3632,-9.06,84,100,2.46,GL,1612297266
21,Buala,-8.145,159.5921,80.49,81,97,9.78,SB,1612297266
22,Gosen,37.7333,139.1667,33.01,93,100,7.76,JP,1612297266
23,Arraial do Cabo,-22.9661,-42.0278,86.0,61,0,26.46,BR,1612297266
24,Caucayá,-0.1934,-74.7819,93.34,44,86,3.78,CO,1612297267
25,Sainte-Suzanne,-20.9061,55.6089,80.6,65,40,14.97,RE,1612297267
26,Albany,42.6001,-73.9662,30.0,87,100,1.99,US,1612297124
27,Victoria Point,-27.5833,153.3,71.01,90,10,3.0,AU,1612297267
28,Kolosovka,56.4678,73.611,20.8,97,100,17.65,RU,1612297267
29,Ugoofaaru,5.6667,73.0,82.08,72,31,11.23,MV,1612297267
30,Tuatapere,-46.1333,167.6833,60.08,82,100,3.33,NZ,1612297267
